game_type,difficulty,text1,text2,answer,option1,option2,option3,option4,hint,know_more,image_url,subtopic,grade,cognitive_demand
lq-lot-3,Medium,"Find the next number: 3, 8, 15, 24, 35, ?",Numerical Ability,48,48,46,47,49,Find how much is added each time and see how those additions change.,"The differences are +5, +7, +9 and +11. The next odd difference is +13, so 35 + 13 = 48.",,Odd-Difference Series,Grade 4,2-step
lq-lot-3,Medium,"A number is doubled, then 9 is added, giving 35. What was the number?",Numerical Ability,13,11,13,17,22,"Undo the operations in reverse order: subtract first, then divide.",Start with 35. Undo +9 by subtracting 9 to get 26. Undo doubling by dividing 26 by 2. The original number is 13.,,Reverse Operations,Grade 4,2-step
lq-lot-3,Medium,A clock shows 2:45 p.m. A programme lasts 1 hour 35 minutes. When does it finish?,Numerical Ability,4:20 p.m.,4:10 p.m.,4:30 p.m.,4:20 p.m.,4:05 p.m.,"Add one hour first, then add the remaining 35 minutes.",2:45 p.m. + 1 hour = 3:45 p.m. Adding 35 minutes gives 4:20 p.m. Therefore the programme ends at 4:20 p.m.,,Time Arithmetic,Grade 4,2-step
lq-lot-3,Medium,"I am between 500 and 600. My tens digit is 2 less than my hundreds digit, and my units digit is twice my tens digit. Which number am I?",Numerical Ability,536,524,548,563,536,"The hundreds digit is 5. Use the first clue to find the tens digit, then the second clue for the units digit.","The hundreds digit is 5. The tens digit is 2 less, so it is 3. The units digit is twice 3, so it is 6. The number is 536.",,Place-Value Constraint,Grade 4,2-step
lq-lot-3,Medium,Which option makes a meaningful sentence? 'Neither Rohan nor his friends _____ ready to leave.',Verbal,were,were,was,is,be,"The nearer subject 'friends' is plural, so choose a plural past-tense verb.","The subject nearest the verb is 'friends', which is plural, and the sentence is in the past. Therefore 'were' makes the sentence meaningful.",,Grammar Reasoning,Grade 4,2-step
lq-lot-3,Medium,Which pair of words has the same relationship as 'buy : sell'?,Verbal,give : take,walk : run,give : take,big : huge,cup : plate,The two words in the example are opposite actions.,'Buy' and 'sell' are opposite actions in the same exchange. 'Give' and 'take' have the same opposite-action relationship.,,Word Analogy,Grade 4,2-step
lq-lot-3,Medium,Which word becomes another correct word when its first letter is removed?,Verbal,plate,stone,bring,plate,chair,Remove only the first letter from each option and see whether the remaining letters form a word.,"Removing the first letter from PLATE gives LATE, which is a correct word. The other options do not form ordinary words after removing their first letter.",,Word Transformation,Grade 4,2-step
lq-lot-3,Medium,"Four books W, X, Y and Z are on a shelf. W is left of X. Y is right of X. Z is left of W. Which book is second from the left?",Analytical Thinking,W,Z,X,Y,W,Build the full left-to-right order from the clues.,"Z is left of W, W is left of X, and Y is right of X. So the order is Z, W, X, Y. The second book from the left is W.",,Linear Arrangement,Grade 4,2-step
lq-lot-3,Medium,All NORS are green. No green object is square. Which statement must be true?,Analytical Thinking,No NOR is square,No NOR is square,Some NORS are square,All squares are NORS,Some green objects are square,"Follow both rules in order: NORS belong to green objects, and green objects cannot be square.","Every NOR is green, and no green object is square. Therefore no NOR can be square. That statement must be true.",,Syllogism,Grade 4,2-step
lq-lot-3,Medium,"If A = 1, B = 2, C = 3 and so on, what is the value of FACE?",Analytical Thinking,15,14,15,16,13,Find the alphabet value of each letter and add them.,"F = 6, A = 1, C = 3 and E = 5. Their sum is 6 + 1 + 3 + 5 = 15.",,Alphabet Value,Grade 4,2-step
lq-lot-3,Medium,"Find the odd pair out: AB-12, CD-34, EF-56, GH-79.",Analytical Thinking,GH-79,CD-34,AB-12,GH-79,EF-56,Compare the letter positions with the two digits paired with them.,"AB are letters 1 and 2, CD are 3 and 4, and EF are 5 and 6. GH should pair with 78, not 79. Therefore GH-79 is the odd pair.",,Paired Coding,Grade 4,2-step
lq-lot-3,Medium,"You face South. Turn left, turn right, then turn right again. Which direction are you facing?",Memory and Concentration,West,East,South,North,West,Update your facing direction after each turn.,South → left gives East. East → right gives South. South → right gives West. Therefore the final direction is West.,svg:compass:heading=South,Direction Tracking,Grade 4,2-step
lq-lot-3,Medium,"Remember: 8, blue, star, 3, kite, red. Which item is immediately before 'kite'?",Memory and Concentration,3,3,star,red,blue,Locate 'kite' in the sequence and look one place to its left.,"The sequence is 8, blue, star, 3, kite, red. The item immediately before kite is 3.",,Ordered Recall,Grade 4,2-step
lq-lot-3,Medium,Which symbol should replace '?' in the sequence?,Visual,○,■,○,▲,◆,Look for a repeating group of three symbols.,"The repeating block is ■, ○, ○. After the third ■ begins a new block, the next symbol must be ○.",svg:sequence:■|○|○|■|○|○|■|?,Repeating Sequence,Grade 4,2-step
lq-lot-3,Medium,The cards follow a letter-number pattern. Which card should come next?,Visual,I5,H5,I4,I5,J5,The letters and numbers change by separate regular steps.,"The letters are A, C, E, G, moving forward by two letters each time, so the next is I. The numbers are 1, 2, 3, 4, so the next is 5. Therefore I5 comes next.",svg:sequence:A1|C2|E3|G4|?,Dual Sequence,Grade 4,2-step
lq-lot-3,Hard,"A number is multiplied by 3, then 8 is added. The result is the same as doubling 22. What is the number?",Numerical Ability,12,10,11,13,12,First find twice 22. Then reverse the '+8' and '×3' operations.,"First double 22 to get 44. Let the unknown number be n. The statement gives 3 × n + 8 = 44. Subtract 8 to get 3 × n = 36, then divide by 3. Therefore n = 12.",,Multi-Step Equation,Grade 4,3-step
lq-lot-3,Hard,Which word fits both sentences with the same spelling? 'Please _____ each word to its meaning.' 'We watched a cricket _____ yesterday.',Verbal,match,match,join,game,pair,The same word must work first as an action and then as the name of a sporting contest.,"'Match' can be a verb meaning to pair one item with another, as in 'match each word to its meaning'. A 'match' is also a sporting contest. So the same spelling works in both sentences.",,Multiple-Meaning Word,Grade 4,3-step
lq-lot-3,Hard,"Five books P, Q, R, S and T are stacked. P is above Q. R is below Q. S is above P. T is below R. Which book is on top?",Analytical Thinking,S,P,S,Q,T,Chain the above/below clues into one vertical order.,"S is above P, P is above Q, Q is above R, and R is above T. The stack is S, P, Q, R, T from top to bottom, so S is on top.",,Stack Ordering,Grade 4,3-step
lq-lot-3,Hard,"A child faces North. After three right turns and one left turn, which direction is the child facing?",Memory and Concentration,South,East,West,South,North,Track all four turns in order rather than simplifying too soon.,North → right East → right South → right West → left South. Therefore the child finishes facing South.,svg:compass:heading=North,Multi-Step Direction,Grade 4,3-step
lq-lot-3,Hard,"In the symbol sequence, odd positions contain triangles and even positions contain circles. What symbol must be at position 11?",Visual,▲,○,■,★,▲,"Determine whether position 11 is odd or even, then apply the visual rule.","Positions 1, 3, 5, 7 and 9 are odd and contain triangles. Since 11 is also odd, it must contain a triangle.",svg:sequence:▲|○|▲|○|▲|○|▲|○|▲|○|?,Position Pattern,Grade 4,3-step
