game_type,text1,text2,answer,option1,option2,option3,option4,difficulty,category,know_more,hint,image_url,topic
tense-traveler,walk,past,walked,walk,walked,walks,will walk,Easy,tenses,Past tense adds -ED for regular verbs. Walk → Walked!,,,
tense-traveler,walk,present,walks,walk,walked,walks,will walk,Easy,tenses,Present tense for he/she adds -S. He walks every day.,,,
tense-traveler,walk,future,will walk,walk,walked,walks,will walk,Easy,tenses,Future tense uses WILL + verb. Will walk tomorrow.,,,
tense-traveler,run,past,ran,run,ran,runs,will run,Easy,tenses,Run is irregular! Past = RAN not runned.,,,
tense-traveler,run,present,runs,run,ran,runs,will run,Easy,tenses,He/She RUNS every morning. Add -S for present.,,,
tense-traveler,eat,past,ate,eat,ate,eats,will eat,Medium,tenses,Eat is irregular. Past = ATE. Yesterday I ate pizza.,,,
tense-traveler,eat,future,will eat,eat,ate,eats,will eat,Medium,tenses,Tomorrow I WILL EAT breakfast. WILL + base verb.,,,
tense-traveler,write,past,wrote,write,wrote,writes,will write,Medium,tenses,Write → Wrote (past). Irregular verb!,,,
tense-traveler,sing,past,sang,sing,sang,sings,will sing,Medium,tenses,Sing → Sang (past). She sang beautifully yesterday.,,,
tense-traveler,swim,past,swam,swim,swam,swims,will swim,Medium,tenses,Swim → Swam (past). We swam in the pool.,,,
tense-traveler,think,past,thought,think,thought,thinks,will think,Hard,tenses,Think → Thought. Irregular - memorize it!,,,
tense-traveler,speak,past,spoke,speak,spoke,speaks,will speak,Hard,tenses,Speak → Spoke (past). He spoke to the class.,,,
tense-traveler,bring,past,brought,bring,brought,brings,will bring,Hard,tenses,Bring → Brought. Similar to think → thought!,,,
tense-traveler,teach,past,taught,teach,taught,teaches,will teach,Hard,tenses,Teach → Taught. The teacher taught math.,,,
tense-traveler,catch,past,caught,catch,caught,catches,will catch,Hard,tenses,Catch → Caught. I caught the ball yesterday.,,,
tense-traveler,jump,past,jumped,jump,jumped,jumps,will jump,Easy,tenses,Past tense: add -ED. Jump → Jumped!,,,
tense-traveler,play,present,plays,play,played,plays,will play,Easy,tenses,She/He PLAYS. Add -S for present with he/she/it!,,,
tense-traveler,talk,future,will talk,talk,talked,talks,will talk,Easy,tenses,Future: WILL + verb. Will talk tomorrow!,,,
tense-traveler,go,past,went,go,went,goes,will go,Medium,tenses,Go is irregular! Past = WENT not goed!,,,
tense-traveler,make,past,made,make,made,makes,will make,Medium,tenses,Make → Made (past). Irregular verb!,,,
tense-traveler,see,past,saw,see,saw,sees,will see,Medium,tenses,See → Saw (past). I saw a bird yesterday!,,,
tense-traveler,fly,past,flew,fly,flew,flies,will fly,Hard,tenses,Fly → Flew. The bird flew away!,,,
tense-traveler,buy,past,bought,buy,bought,buys,will buy,Hard,tenses,Buy → Bought. She bought milk yesterday!,,,
tense-traveler,fight,past,fought,fight,fought,fights,will fight,Hard,tenses,Fight → Fought. They fought bravely!,,,
tense-traveler,jump,past,jumped,will jump,jumps,jumped,jumping,Medium,tenses,Regular verb,Think about past time.,,Tenses
tense-traveler,play,present,plays,will play,playing,plays,played,Medium,tenses,Regular verb,Think about present time.,,Tenses
tense-traveler,walk,past,walked,walking,walks,will walk,walked,Medium,tenses,Regular verb,Think about past time.,,Tenses
tense-traveler,talk,future,will talk,talking,talks,talked,willed talk,Medium,tenses,Regular verb,Think about future time.,,Tenses
tense-traveler,look,future,will look,looked,looks,willed look,will look,Medium,tenses,Regular verb,Think about future time.,,Tenses
tense-traveler,help,past,helped,helps,will help,helping,helped,Medium,tenses,Regular verb,Think about past time.,,Tenses
tense-traveler,cook,future,will cook,will cook,willed cook,cooking,cooks,Medium,tenses,Regular verb,Think about future time.,,Tenses
tense-traveler,clean,past,cleaned,will clean,cleaning,cleans,cleaned,Medium,tenses,Regular verb,Think about past time.,,Tenses
tense-traveler,wash,present,washes,washed,washing,will wash,washs,Medium,tenses,Ends in sh -> add es,Think about present time.,,Tenses
tense-traveler,watch,future,will watch,will watch,watching,willed watch,watched,Medium,tenses,Ends in ch -> add es,Think about future time.,,Tenses
tense-traveler,kiss,future,will kiss,will kiss,kissing,kisses,willed kiss,Medium,tenses,Ends in ss -> add es,Think about future time.,,Tenses
tense-traveler,fix,present,fixes,fixed,fixs,fixing,fixes,Medium,tenses,Ends in x -> add es,Think about present time.,,Tenses
tense-traveler,go,future,will go,willed go,will go,went,going,Medium,tenses,Irregular: go -> went,Think about future time.,,Tenses
tense-traveler,do,past,did,did,does,doed,doing,Medium,tenses,Irregular: do -> did,Think about past time.,,Tenses
tense-traveler,have,past,had,haveed,has,haveing,had,Medium,tenses,Irregular: have -> had,Think about past time.,,Tenses
tense-traveler,be,future,will be,will be,willed be,was,being,Medium,tenses,Irregular: be -> was,Think about future time.,,Tenses
tense-traveler,eat,present,eats,eating,will eat,eats,ate,Medium,tenses,Irregular: eat -> ate,Think about present time.,,Tenses
tense-traveler,run,present,runs,ran,runing,runs,will run,Medium,tenses,Irregular: run -> ran,Think about present time.,,Tenses
tense-traveler,see,past,saw,seeing,seeed,will see,saw,Medium,tenses,Irregular: see -> saw,Think about past time.,,Tenses
tense-traveler,come,present,comes,came,comeing,will come,comes,Medium,tenses,Irregular: come -> came,Think about present time.,,Tenses
tense-traveler,say,future,will say,will say,willed say,said,says,Medium,tenses,Irregular: say -> said,Think about future time.,,Tenses
tense-traveler,make,present,makes,makes,made,will make,makeing,Medium,tenses,Irregular: make -> made,Think about present time.,,Tenses
tense-traveler,take,past,took,takeed,takeing,takes,will take,Medium,tenses,Irregular: take -> took,Think about past time.,,Tenses
tense-traveler,get,past,got,got,geted,geting,gets,Medium,tenses,Irregular: get -> got,Think about past time.,,Tenses
tense-traveler,give,future,will give,willed give,gives,giveing,will give,Medium,tenses,Irregular: give -> gave,Think about future time.,,Tenses
tense-traveler,know,future,will know,willed know,knows,will know,knowing,Medium,tenses,Irregular: know -> knew,Think about future time.,,Tenses
tense-traveler,think,future,will think,willed think,thinking,will think,thought,Medium,tenses,Irregular: think -> thought,Think about future time.,,Tenses
tense-traveler,find,present,finds,finding,finds,will find,found,Medium,tenses,Irregular: find -> found,Think about present time.,,Tenses
tense-traveler,tell,future,will tell,tells,told,willed tell,telling,Medium,tenses,Irregular: tell -> told,Think about future time.,,Tenses
tense-traveler,ask,past,asked,asking,asked,asks,will ask,Medium,tenses,Regular verb,Think about past time.,,Tenses
tense-traveler,write,future,will write,willed write,writeing,writes,wrote,Medium,tenses,Irregular: write -> wrote,Think about future time.,,Tenses
tense-traveler,read,present,reads,reads,read,reading,will read,Medium,tenses,Past is read (sounds like red),Think about present time.,,Tenses
tense-traveler,speak,present,speaks,will speak,spoke,speaks,speaking,Medium,tenses,Irregular: speak -> spoke,Think about present time.,,Tenses
tense-traveler,break,present,breaks,breaks,will break,breaking,broke,Medium,tenses,Irregular: break -> broke,Think about present time.,,Tenses
tense-traveler,drive,present,drives,drives,driveing,will drive,drove,Medium,tenses,Irregular: drive -> drove,Think about present time.,,Tenses
tense-traveler,ride,past,rode,rideed,will ride,rides,rode,Medium,tenses,Irregular: ride -> rode,Think about past time.,,Tenses
tense-traveler,swim,past,swam,swims,swiming,swimed,swam,Medium,tenses,Irregular: swim -> swam,Think about past time.,,Tenses
tense-traveler,sing,future,will sing,willed sing,sang,sings,singing,Medium,tenses,Irregular: sing -> sang,Think about future time.,,Tenses
tense-traveler,fly,past,flew,flyed,flies,flying,flew,Medium,tenses,Irregular: fly -> flew,Think about past time.,,Tenses
