game_type,option1,text1,answer,know_more,num1,difficulty,operation,option2,option4,hint,image_url,num2,option3,topic
space-math,8,,8,When adding start with the bigger number and count up!,5,Easy,+,7,6,Add the numbers together,,3,9,
space-math,19,,19,Adding to 12: Count 7 more - 13 14 15 16 17 18 19!,12,Easy,+,18,17,Count up from 12,,7,20,
space-math,4,,4,Subtraction means taking away. 8 fingers minus 4 equals 4!,8,Easy,-,3,6,Take away 4 from 8,,4,5,
space-math,9,,9,For subtraction count backwards from the bigger number.,15,Easy,-,8,7,Subtract carefully,,6,10,
space-math,18,,18,Doubling means adding a number to itself. 9+9=18!,9,Easy,+,17,16,Double 9,,9,19,
space-math,38,,38,Break it down: 25+10=35 then 35+3=38.,25,Medium,+,35,36,Add tens then ones,,13,40,
space-math,17,,17,Subtract 10 first (34-10=24) then subtract 7 (24-7=17).,34,Medium,-,15,18,Subtract step by step,,17,19,
space-math,42,,42,Multiplication is repeated addition. 6x7 means 7+7+7+7+7+7=42.,6,Medium,×,36,35,6 times 7,,7,48,
space-math,32,,32,8x4 means 4 groups of 8 or 8+8+8+8=32.,8,Medium,×,28,24,8 times 4,,4,36,
space-math,63,,63,Add the ones first (5+8=13) then add tens (40+10=50) plus carry 50+13=63.,45,Medium,+,60,58,Add carefully,,18,65,
space-math,27,,27,When ones column needs borrowing take 10 from tens column!,56,Hard,-,25,31,Borrow if needed,,29,29,
space-math,72,,72,Trick: 9x8 = 9x9-9 = 81-9 = 72. Or remember 8x9=72!,9,Hard,×,64,63,9 times 8,,8,81,
space-math,8,,8,Division answers: How many groups? 48÷6=8 because 6x8=48.,48,Hard,÷,6,9,How many 6s in 48,,6,7,
space-math,9,,9,To check division multiply your answer by divisor: 9x8=72 ✓,72,Hard,÷,8,10,Division practice,,8,7,
space-math,132,,132,11x12: Think of it as 11x10=110 plus 11x2=22. 110+22=132.,11,Hard,×,121,120,11 times 12,,12,144,
space-math,8,,8,Adding small numbers: 6+2 equals 8!,6,Easy,+,7,10,Add 6 and 2,,2,9,
space-math,16,,16,11+5: Start at 11 and count 5 more!,11,Easy,+,15,14,Add to 11,,5,17,
space-math,6,,6,Subtraction: Take 3 away from 9 leaves 6!,9,Easy,-,5,8,9 minus 3,,3,7,
space-math,27,,27,Add: 18+10=28 then subtract 1 = 27!,18,Medium,+,25,26,Add 18 and 9,,9,29,
space-math,30,,30,Multiply: 5×6 = 30. Count by 5s six times!,5,Medium,×,25,36,5 times 6,,6,35,
space-math,63,,63,7×9=63. Trick: 7×10=70 then subtract 7!,7,Medium,×,54,56,7 times 9,,9,72,
space-math,9,,9,Division: 81÷9=9 because 9×9=81!,81,Hard,÷,8,7,81 divided by 9,,9,10,
space-math,143,,143,13×11: Think (10+3)×11 = 110+33 = 143!,13,Hard,×,121,132,13 times 11,,11,154,
space-math,12,,12,Division check: 12×9=108 so 108÷9=12!,108,Hard,÷,11,10,108 divided by 9,,9,13,
