game_type,difficulty,text1,text2,answer,option1,option2,option3,option4,hint,know_more
lq-lot-2,Medium,"Find the next number: 48, 39, 30, 21, ?",Numerical Ability,12,12,11,13,15,Look at how much is subtracted each time.,"Each term is 9 less than the previous one: 48, 39, 30, 21, 12."
lq-lot-2,Medium,"A number has 4 hundreds, 6 tens and 3 ones. What is the number?",Numerical Ability,463,463,436,4063,643,"Write the hundreds, tens and ones in place-value order.","4 hundreds = 400, 6 tens = 60 and 3 ones = 3, so the number is 463."
lq-lot-2,Medium,72 stickers are shared equally among 8 children. How many stickers does each child get?,Numerical Ability,9,9,8,10,12,Think of 72 divided by 8.,"72 ÷ 8 = 9, so each child gets 9 stickers."
lq-lot-2,Medium,A movie starts at 2:35 p.m. and lasts 50 minutes. When does it end?,Numerical Ability,3:25 p.m.,3:25 p.m.,3:15 p.m.,2:85 p.m.,3:35 p.m.,"Add 25 minutes to reach 3:00, then add the remaining 25 minutes.",2:35 p.m. + 50 minutes = 3:25 p.m.
lq-lot-2,Medium,"Which word is the ODD one out? joyful, happy, cheerful, angry",Verbal,angry,angry,joyful,happy,cheerful,Three words have a similar positive meaning.,"Joyful, happy and cheerful are similar in meaning. Angry has a different meaning."
lq-lot-2,Medium,Choose the correct word: The puppies _____ playing in the garden.,Verbal,were,were,was,is,be,The subject 'puppies' is plural and the action is in the past.,"'Puppies' is plural, so the correct past-tense helping verb is 'were'."
lq-lot-2,Medium,Which word is closest in meaning to 'tiny'?,Verbal,small,small,loud,smooth,quick,Think about size.,Tiny means very small.
lq-lot-2,Medium,All red boxes are heavy. Box P is red. What must be true about Box P?,Analytical Thinking,Box P is heavy,Box P is heavy,Box P is empty,Box P is blue,Box P is open,Use the rule about every red box.,"If all red boxes are heavy and Box P is red, then Box P must be heavy."
lq-lot-2,Medium,Mira's mother is Anita. Anita's brother is Raj. How is Raj related to Mira?,Analytical Thinking,Uncle,Uncle,Brother,Grandfather,Cousin,Your mother's brother has a special family relation name.,"Raj is Mira's mother's brother, so Raj is Mira's uncle."
lq-lot-2,Medium,Ria is taller than Tia. Tia is taller than Mia. Who is the shortest?,Analytical Thinking,Mia,Mia,Tia,Ria,Cannot tell,Put the three names in height order.,"Ria > Tia > Mia, so Mia is the shortest."
lq-lot-2,Medium,"In a code, each letter is replaced by the next letter of the alphabet. CAT becomes DBU. How is DOG coded?",Analytical Thinking,EPH,EPH,DNG,EOG,FQI,Move each letter forward by one.,"D→E, O→P and G→H, so DOG becomes EPH."
lq-lot-2,Medium,"Aarav faces North. He turns right, then left. Which direction is he facing now?",Memory and Concentration,North,North,East,South,West,Right from North is East; then turn left from East.,North → right to East → left back to North.
lq-lot-2,Medium,"Remember this order: circle, triangle, star, square. Which shape was third?",Memory and Concentration,star,star,triangle,square,circle,Count the positions from left to right.,The third shape in the given order is star.
lq-lot-2,Medium,"What comes next in the repeating pattern? ▲, ▲, ○, ▲, ▲, ○, ?",Visual Reasoning,▲,▲,○,■,◆,The pattern repeats in groups of three.,"The repeating group is ▲, ▲, ○, so the next symbol is ▲."
lq-lot-2,Medium,Which option follows the same letter pattern as ABBA?,Visual Reasoning,CDDC,CDDC,CDED,CDCD,CCDD,"The first and last letters match, and the two middle letters match.",ABBA has the form 1-2-2-1. CDDC follows the same form.
lq-lot-2,Hard,"Find the next number: 2, 6, 12, 20, 30, ?",Numerical Ability,42,42,40,44,36,"Look at the differences: +4, +6, +8, +10.","The differences increase by 2, so the next difference is +12. 30 + 12 = 42."
lq-lot-2,Hard,Which word can be made by rearranging ALL the letters of SILENT?,Verbal,LISTEN,LISTEN,LINES,TILES,STONE,Use every letter exactly once.,SILENT and LISTEN use exactly the same six letters.
lq-lot-2,Hard,Four children stand in a line. Neha is before Omar. Pia is after Omar. Ravi is before Neha. Who must be first?,Analytical Thinking,Ravi,Ravi,Neha,Omar,Pia,Build the chain from the clues.,"The clues force Ravi before Neha before Omar before Pia, so Ravi must be first."
lq-lot-2,Hard,"Kavya faces West. She turns 90° clockwise, then 180°, then 90° counter-clockwise. Which direction does she face?",Memory and Concentration,East,South,North,East,West,Track one turn at a time.,West → clockwise to North → 180° to South → counter-clockwise to East.
lq-lot-2,Hard,A 3×3 symbol grid has rows: ★ ○ ★ / ○ ★ ○ / ★ ○ ?. Which symbol completes the pattern?,Visual Reasoning,★,★,○,■,▲,Look for an alternating checkerboard pattern.,"The grid alternates ★ and ○ like a checkerboard, so the last symbol must be ★."
