game_type,difficulty,text1,text2,answer,option1,option2,option3,option4,hint,know_more
lq-lot-5,Medium,"What is the smallest 4-digit number that can be made using 0, 3, 5 and 8 exactly once?",Numerical Ability,3058,3058,0358,3508,3085,A 4-digit number cannot begin with 0. Use the smallest non-zero digit first.,"Start with 3, then use the remaining digits in increasing order: 0, 5, 8, giving 3058."
lq-lot-5,Medium,A train travels 45 km in the morning and 38 km in the afternoon. How much farther must it travel to reach 100 km?,Numerical Ability,17 km,17 km,27 km,13 km,23 km,First find how far it has already travelled.,45 + 38 = 83 km. 100 - 83 = 17 km.
lq-lot-5,Medium,Which number is divisible by both 3 and 4?,Numerical Ability,24,24,18,20,27,Check whether the number can be divided exactly by both 3 and 4.,"24 ÷ 3 = 8 and 24 ÷ 4 = 6, so 24 works for both."
lq-lot-5,Medium,A jug holds 2 litres. How many 250 mL cups can be filled completely from it?,Numerical Ability,8,8,6,10,4,2 litres = 2000 mL.,2000 ÷ 250 = 8 cups.
lq-lot-5,Medium,Which word best completes the analogy: Bird is to nest as bee is to _____.,Verbal,hive,hive,cave,pond,stable,Think of the home of a bee.,"A bee lives in a hive, just as a bird lives in a nest."
lq-lot-5,Medium,Choose the sentence in the future tense.,Verbal,We will visit the museum tomorrow.,We will visit the museum tomorrow.,We visited the museum yesterday.,We visit the museum every month.,We are at the museum now.,Look for a helping verb that shows a future action.,'Will visit' shows future tense.
lq-lot-5,Medium,Which word has the prefix 'un-' meaning 'not'?,Verbal,uncertain,uncertain,under,until,uncle,Remove 'un-' and see whether the remaining word still has meaning.,Certain is a word; uncertain means not certain.
lq-lot-5,Medium,"Four cards show 2, 4, 6 and 8. Which card is both greater than 5 and less than 8?",Analytical Thinking,6,6,8,4,2,Use both conditions at the same time.,6 is greater than 5 and less than 8.
lq-lot-5,Medium,"If P is the sister of Q, and Q is the father of R, how is P related to R?",Analytical Thinking,Aunt,Aunt,Mother,Sister,Cousin,P is the sister of R's father.,A father's sister is an aunt.
lq-lot-5,Medium,"Find the odd one out: 16, 25, 36, 45, 49",Analytical Thinking,45,45,16,25,49,Four numbers are perfect squares.,"16=4², 25=5², 36=6² and 49=7². 45 is not a perfect square."
lq-lot-5,Medium,"If TODAY is coded by reversing the letters, how is SCHOOL coded?",Analytical Thinking,LOOHCS,LOOHCS,SCHOOL,LOOCHS,HCOOLS,Write the word from the last letter to the first.,SCHOOL reversed is LOOHCS.
lq-lot-5,Medium,Face North-West. Turn 90° clockwise. Which direction do you face?,Memory and Concentration,North-East,North-East,South-West,South-East,North-West,A quarter-turn clockwise from North-West lands on North-East.,North-West rotated 90° clockwise becomes North-East.
lq-lot-5,Medium,"Remember: red, 7, moon, blue, 4. What item came immediately after moon?",Memory and Concentration,blue,blue,7,4,red,Find moon in the list and look one place to the right.,The item immediately after moon is blue.
lq-lot-5,Medium,"Which option continues the pattern? A1, C2, E3, G4, ?",Visual Reasoning,I5,I5,H5,I4,J5,Letters increase by 2 positions while numbers increase by 1.,"A, C, E, G, I and 1, 2, 3, 4, 5, so the next term is I5."
lq-lot-5,Medium,"A design alternates two symbols by row: Row 1 = ★○★○, Row 2 = ○★○★. What should Row 3 be?",Visual Reasoning,★○★○,★○★○,○★○★,★★★★,○○○○,The rows alternate between two arrangements.,Row 3 repeats Row 1: ★○★○.
lq-lot-5,Hard,A two-digit number has digits that add to 11. The tens digit is 3 more than the ones digit. What is the number?,Numerical Ability,74,74,47,83,65,Let the ones digit be x; then the tens digit is x + 3.,"x + (x + 3) = 11, so 2x = 8 and x = 4. The tens digit is 7, giving 74."
lq-lot-5,Hard,Which word fits BOTH sentences? 'Please _____ the door.' and 'The shop is _____ today.',Verbal,close,close,open,shut,near,The same spelling must work as an action in the first sentence and a describing word in the second.,'Close' can mean shut the door and can also describe the shop as not open.
lq-lot-5,Hard,"Three friends have pets. Aria does not have the cat. Ben does not have the dog. Chitra has the fish. Each has one different pet: cat, dog, fish. Who has the dog?",Analytical Thinking,Aria,Aria,Ben,Chitra,Cannot tell,Chitra has fish. The remaining pets are cat and dog for Aria and Ben; Ben cannot have dog.,"Ben must have the cat, so Aria has the dog."
lq-lot-5,Hard,"A robot faces East. Commands are R, F, L, L, F. R=turn right, L=turn left, F=move forward without changing direction. Which direction is it facing at the end?",Memory and Concentration,North,North,South,East,West,Only R and L change direction; F does not.,East → right South → forward South → left East → left North → forward North. Final direction: North.
lq-lot-5,Hard,A 4×4 pattern alternates X and O like a checkerboard. Row 1 is X O X O. Row 2 is O X O X. What is the third symbol in Row 4?,Visual Reasoning,O,O,X,★,Cannot tell,Rows 3 and 4 repeat the alternating checkerboard pattern.,"Row 4 matches Row 2: O X O X, so the third symbol is O."
